timestamp,activeOrders, sells,buys, digest
Sun Feb 15 05:19:38 UTC 2015 , 4 , 2 , 2 , 102701493 : { BUY 2783.92@0.00386244} 102701558 : { BUY 2783.01@0.00386244} 102700679 : { SELL 8400.32@0.00389736} 102700723 : { SELL 8400.32@0.00389736} 
Sun Feb 15 05:46:48 UTC 2015 , 4 , 2 , 2 , 102711259 : { BUY 2751.08@0.00390854} 102711318 : { BUY 2750.18@0.00390854} 102712117 : { SELL 8400.32@0.00394388} 102712166 : { SELL 8400.32@0.00394388} 
Sun Feb 15 05:52:50 UTC 2015 , 4 , 2 , 2 , 102713300 : { BUY 2758.43@0.00389813} 102713358 : { BUY 2757.53@0.00389813} 102714229 : { SELL 8400.32@0.00393337} 102714286 : { SELL 8400.32@0.00393337} 
Sun Feb 15 06:19:59 UTC 2015 , 4 , 2 , 2 , 102723839 : { BUY 2782.62@0.00386424} 102723884 : { BUY 2781.72@0.00386424} 102724744 : { SELL 8400.32@0.00389917} 102724791 : { SELL 8400.32@0.00389917} 
Sun Feb 15 06:35:04 UTC 2015 , 4 , 2 , 2 , 102730231 : { BUY 2794.28@0.00384811} 102730308 : { BUY 2793.38@0.00384811} 102729391 : { SELL 8400.32@0.0038829} 102729434 : { SELL 8400.32@0.0038829} 
Sun Feb 15 06:41:06 UTC 2015 , 4 , 2 , 2 , 102731668 : { BUY 2797.96@0.00384306} 102731720 : { BUY 2797.05@0.00384306} 102732569 : { SELL 8400.32@0.0038778} 102732622 : { SELL 8400.32@0.0038778} 
Sun Feb 15 06:44:07 UTC 2015 , 4 , 2 , 2 , 102731668 : { BUY 2797.96@0.00384306} 102731720 : { BUY 2797.05@0.00384306} 102732569 : { SELL 8400.32@0.0038778} 102732622 : { SELL 8400.32@0.0038778} 
Sun Feb 15 06:56:12 UTC 2015 , 4 , 2 , 2 , 102736466 : { BUY 2794.72@0.00384751} 102736540 : { BUY 2793.82@0.00384751} 102737401 : { SELL 8400.32@0.00388229} 102737489 : { SELL 8400.32@0.00388229} 
Sun Feb 15 07:08:15 UTC 2015 , 4 , 2 , 2 , 102742590 : { BUY 2791.59@0.00385183} 102742638 : { BUY 2790.68@0.00385183} 102741764 : { SELL 8400.32@0.00388665} 102741816 : { SELL 8400.32@0.00388665} 
Sun Feb 15 07:11:16 UTC 2015 , 4 , 2 , 2 , 102742590 : { BUY 2791.59@0.00385183} 102742638 : { BUY 2790.68@0.00385183} 102741764 : { SELL 8400.32@0.00388665} 102741816 : { SELL 8400.32@0.00388665} 
Sun Feb 15 07:14:18 UTC 2015 , 4 , 2 , 2 , 102742590 : { BUY 2791.59@0.00385183} 102742638 : { BUY 2790.68@0.00385183} 102741764 : { SELL 8400.32@0.00388665} 102741816 : { SELL 8400.32@0.00388665} 
Sun Feb 15 07:20:19 UTC 2015 , 4 , 2 , 2 , 102745794 : { BUY 2799.36@0.00384113} 102745855 : { BUY 2798.46@0.00384113} 102746633 : { SELL 8400.32@0.00387585} 102746691 : { SELL 8400.32@0.00387585} 
Sun Feb 15 07:26:21 UTC 2015 , 4 , 2 , 2 , 102748010 : { BUY 2811.03@0.00382519} 102748072 : { BUY 2810.12@0.00382519} 102748845 : { SELL 8400.32@0.00385977} 102748882 : { SELL 8400.32@0.00385977} 
Sun Feb 15 07:35:23 UTC 2015 , 4 , 2 , 2 , 102751843 : { BUY 2788.13@0.0038566} 102751887 : { BUY 2787.23@0.0038566} 102751003 : { SELL 8400.32@0.00389147} 102751047 : { SELL 8400.32@0.00389147} 
Sun Feb 15 07:41:25 UTC 2015 , 4 , 2 , 2 , 102752544 : { BUY 2795.15@0.00384692} 102752587 : { BUY 2794.25@0.00384692} 102753415 : { SELL 8400.32@0.00388169} 102753472 : { SELL 8400.32@0.00388169} 
Sun Feb 15 07:50:29 UTC 2015 , 4 , 2 , 2 , 102756964 : { BUY 2795.91@0.00384588} 102757021 : { BUY 2795.0@0.00384588} 102756155 : { SELL 8400.32@0.00388065} 102756207 : { SELL 8400.32@0.00388065} 
Sun Feb 15 07:56:30 UTC 2015 , 4 , 2 , 2 , 102759137 : { BUY 2786.72@0.00385855} 102759178 : { BUY 2785.82@0.00385855} 102758290 : { SELL 8400.32@0.00389343} 102758352 : { SELL 8400.32@0.00389343} 
Sun Feb 15 08:02:33 UTC 2015 , 4 , 2 , 2 , 102761536 : { BUY 2781.87@0.00386529} 102761591 : { BUY 2780.96@0.00386529} 102760719 : { SELL 8400.32@0.00390023} 102760768 : { SELL 8400.32@0.00390023} 
