timestamp,source,crypto,price,currency,sellprice,buyprice,otherfeeds
Sun Feb 15 07:51:40 UTC 2015,coinbase,btc,258.0,USD,0.00389343,0.00385855,{ feed : coinbase - price : 258.0}  { feed : bitcoinaverage - price : 258.33}  { feed : blockchain - price : 258.15}  { feed : btce - price : 258.692}  

Sun Feb 15 07:58:47 UTC 2015,coinbase,btc,257.55,USD,0.00390023,0.00386529,{ feed : coinbase - price : 257.55}  { feed : bitcoinaverage - price : 257.75}  { feed : blockchain - price : 257.07}  { feed : btce - price : 256.8}  

Sun Feb 15 08:05:54 UTC 2015,coinbase,btc,256.97,USD,0.00390904,0.00387401,{ feed : coinbase - price : 256.97}  { feed : bitcoinaverage - price : 257.6}  { feed : blockchain - price : 257.79}  { feed : btce - price : 256.884}  

Sun Feb 15 08:09:58 UTC 2015,coinbase,btc,257.47,USD,0.00390144,0.00386649,{ feed : coinbase - price : 257.47}  { feed : bitcoinaverage - price : 257.57}  { feed : blockchain - price : 257.0}  { feed : btce - price : 256.1}  

Sun Feb 15 08:16:04 UTC 2015,coinbase,btc,257.88,USD,0.00389524,0.00386034,{ feed : coinbase - price : 257.88}  { feed : bitcoinaverage - price : 258.26}  { feed : blockchain - price : 257.8}  { feed : btce - price : 256.9}  

Sun Feb 15 08:20:09 UTC 2015,coinbase,btc,258.37,USD,0.00388785,0.00385302,{ feed : coinbase - price : 258.37}  { feed : bitcoinaverage - price : 258.31}  { feed : blockchain - price : 257.8}  { feed : btce - price : 256.31}  

Sun Feb 15 08:23:13 UTC 2015,coinbase,btc,257.97,USD,0.00389388,0.003859,{ feed : coinbase - price : 257.97}  { feed : bitcoinaverage - price : 258.1}  { feed : blockchain - price : 258.3}  { feed : btce - price : 256.7}  

Sun Feb 15 08:27:16 UTC 2015,coinbase,btc,257.53,USD,0.00390054,0.00386559,{ feed : coinbase - price : 257.53}  { feed : bitcoinaverage - price : 258.16}  { feed : blockchain - price : 258.0}  { feed : btce - price : 256.9}  

Sun Feb 15 08:31:22 UTC 2015,coinbase,btc,258.79,USD,0.00388154,0.00384677,{ feed : coinbase - price : 258.79}  { feed : bitcoinaverage - price : 258.2}  { feed : blockchain - price : 258.0}  { feed : btce - price : 256.501}  

Sun Feb 15 08:36:24 UTC 2015,coinbase,btc,259.47,USD,0.00387137,0.00383669,{ feed : coinbase - price : 259.47}  { feed : bitcoinaverage - price : 258.98}  { feed : blockchain - price : 258.0}  { feed : btce - price : 257.946}  

Sun Feb 15 08:43:32 UTC 2015,coinbase,btc,259.06,USD,0.0038775,0.00384276,{ feed : coinbase - price : 259.06}  { feed : bitcoinaverage - price : 259.27}  { feed : blockchain - price : 259.0}  { feed : btce - price : 257.997}  

Sun Feb 15 08:47:48 UTC 2015,blockchain,btc,258.64,USD,0.0038838,0.003849,{ feed : coinbase - price : 258.7}  { feed : bitcoinaverage - price : 258.7}  { feed : blockchain - price : 258.64}  { feed : btce - price : 257.18}  

Sun Feb 15 08:57:46 UTC 2015,coinbase,btc,259.41,USD,0.00387227,0.00383757,{ feed : coinbase - price : 259.41}  { feed : bitcoinaverage - price : 259.5}  { feed : blockchain - price : 259.0}  { feed : btce - price : 257.3}  

Sun Feb 15 09:11:59 UTC 2015,coinbase,btc,260.04,USD,0.00386289,0.00382828,{ feed : coinbase - price : 260.04}  { feed : bitcoinaverage - price : 259.66}  { feed : blockchain - price : 259.32}  { feed : btce - price : 259.0}  

